line,sample,mineral_1,sim_1,mineral_2,mineral_3
3,8,Sulfates,0.7545549873532434,Montmorillonite,Ilmenite
3,9,Sulfates,0.7974419991379762,Montmorillonite,Ilmenite
3,10,Sulfates,0.6313373294777962,Montmorillonite,Nontronite
3,11,Sulfates,0.7928300094213834,Montmorillonite,Ilmenite
3,12,Sulfates,0.6215961620636882,Montmorillonite,Nontronite
3,13,Sulfates,0.787637788366058,Montmorillonite,Ilmenite
3,14,Sulfates,0.846016881298368,Montmorillonite,Ilmenite
3,15,Sulfates,0.8588896107878047,Montmorillonite,Ilmenite
3,16,Sulfates,0.7160650929345431,Montmorillonite,Ilmenite
3,17,Sulfates,0.7948512297461974,Montmorillonite,Ilmenite
3,18,Sulfates,0.6474262676588238,Montmorillonite,Nontronite
3,19,Sulfates,0.789344216272524,Montmorillonite,Ilmenite
3,20,Sulfates,0.7409343573116903,Montmorillonite,Ilmenite
3,21,Sulfates,0.7216067296727976,Montmorillonite,Ilmenite
3,22,Sulfates,0.787433446500549,Montmorillonite,Ilmenite
3,23,Sulfates,0.771553422781579,Montmorillonite,Ilmenite
3,24,Sulfates,0.7275483990584511,Montmorillonite,Ilmenite
3,25,Sulfates,0.8273243135063566,Montmorillonite,Ilmenite
3,26,Sulfates,0.8620822844103577,Montmorillonite,Ilmenite
3,27,Sulfates,0.8453982293350905,Montmorillonite,Ilmenite
3,28,Sulfates,0.8215902025163601,Montmorillonite,Ilmenite
3,29,Sulfates,1.275821257793474,Montmorillonite,Ilmenite
3,30,Sulfates,0.7855305306630412,Montmorillonite,Ilmenite
3,31,Sulfates,0.8235035041073935,Montmorillonite,Ilmenite
3,32,Sulfates,1.2451973531289389,Montmorillonite,Ilmenite
3,33,Sulfates,0.8421926552229514,Montmorillonite,Ilmenite
3,34,Sulfates,0.7218215984121292,Montmorillonite,Ilmenite
3,35,Sulfates,0.8160275647693509,Montmorillonite,Ilmenite
3,36,Sulfates,0.8278212295620944,Montmorillonite,Ilmenite
3,37,Sulfates,1.262550717861032,Montmorillonite,Ilmenite
3,38,Sulfates,0.7831965723576532,Montmorillonite,Ilmenite
3,39,Sulfates,0.809328567375082,Montmorillonite,Ilmenite
3,40,Sulfates,0.6378586612733336,Montmorillonite,Nontronite
3,41,Sulfates,0.7680001778691955,Montmorillonite,Ilmenite
3,42,Sulfates,0.7673813423809686,Montmorillonite,Ilmenite
3,43,Sulfates,0.8272417672046585,Montmorillonite,Ilmenite
3,44,Sulfates,0.8298209666965063,Montmorillonite,Ilmenite
3,45,Sulfates,0.8036633115542782,Montmorillonite,Ilmenite
3,46,Sulfates,0.6764006613326577,Montmorillonite,Nontronite
3,47,Sulfates,0.7889018496942787,Montmorillonite,Ilmenite
3,48,Sulfates,0.7868855669066724,Montmorillonite,Ilmenite
3,49,Sulfates,0.7966587466369706,Montmorillonite,Ilmenite
3,50,Sulfates,0.7361935905258462,Montmorillonite,Ilmenite
3,51,Sulfates,0.8339530565468924,Montmorillonite,Ilmenite
3,52,Sulfates,0.7727074324214555,Montmorillonite,Ilmenite
3,53,Sulfates,0.8550826447127288,Montmorillonite,Ilmenite
3,54,Sulfates,0.822499286159661,Montmorillonite,Ilmenite
3,55,Sulfates,0.7041186885655811,Montmorillonite,Ilmenite
3,56,Sulfates,0.7789364188930905,Montmorillonite,Ilmenite
3,57,Sulfates,0.7408983776070502,Montmorillonite,Ilmenite
3,58,Sulfates,0.7381708291746857,Montmorillonite,Ilmenite
3,59,Sulfates,0.7011907937345879,Montmorillonite,Ilmenite
3,60,Sulfates,0.7576320712419016,Montmorillonite,Ilmenite
3,61,Sulfates,0.6535586677179301,Montmorillonite,Ilmenite
4,3,Sulfates,0.8441099551702426,Montmorillonite,Ilmenite
4,4,Sulfates,0.855408698568636,Montmorillonite,Ilmenite
4,5,Sulfates,0.7555801726518258,Montmorillonite,Ilmenite
4,6,Sulfates,0.7841355609263628,Montmorillonite,Ilmenite
4,7,Sulfates,0.5213848604577056,Montmorillonite,Nontronite
4,8,Sulfates,0.5456174530513808,Montmorillonite,Nontronite
4,9,Sulfates,0.5011782442453885,Montmorillonite,Nontronite
4,10,Sulfates,0.6053796941109427,Montmorillonite,Nontronite
4,11,Sulfates,0.5826517780925499,Montmorillonite,Nontronite
4,12,Sulfates,0.5872205391165811,Montmorillonite,Nontronite
4,13,Sulfates,0.5763778151499214,Montmorillonite,Nontronite
4,14,Sulfates,0.6497358234066165,Montmorillonite,Nontronite
4,15,Sulfates,0.7634756448067792,Montmorillonite,Ilmenite
4,16,Sulfates,0.698970455651918,Montmorillonite,Ilmenite
4,17,Sulfates,0.661983290543867,Montmorillonite,Nontronite
4,18,Sulfates,0.6284028644841594,Montmorillonite,Nontronite
4,19,Sulfates,0.6096836979583721,Montmorillonite,Nontronite
4,20,Sulfates,0.8434949497799813,Montmorillonite,Ilmenite
4,21,Sulfates,0.6985102932075645,Montmorillonite,Nontronite
4,22,Sulfates,0.82018367875864,Montmorillonite,Ilmenite
4,23,Sulfates,0.7101394823452262,Montmorillonite,Ilmenite
4,24,Sulfates,0.8484404204845457,Montmorillonite,Ilmenite
4,25,Sulfates,0.8026248464048372,Montmorillonite,Ilmenite
4,26,Sulfates,0.817078688967827,Montmorillonite,Ilmenite
4,27,Sulfates,0.8561260797712927,Montmorillonite,Ilmenite
4,28,Sulfates,0.8530637779262156,Montmorillonite,Ilmenite
4,29,Sulfates,0.7239479624605997,Montmorillonite,Ilmenite
4,30,Sulfates,0.7843544593921773,Montmorillonite,Ilmenite
4,31,Sulfates,0.8081884121953534,Montmorillonite,Ilmenite
4,32,Sulfates,0.7484598072941913,Montmorillonite,Ilmenite
4,33,Sulfates,0.8174511901481792,Montmorillonite,Ilmenite
4,34,Sulfates,0.8398496391040595,Montmorillonite,Ilmenite
4,35,Sulfates,0.7996298992996794,Montmorillonite,Ilmenite
4,36,Sulfates,0.8038977662980151,Montmorillonite,Ilmenite
4,37,Sulfates,0.7549162641956908,Montmorillonite,Ilmenite
4,38,Sulfates,0.7387769840958839,Montmorillonite,Ilmenite
4,39,Sulfates,0.7326384364302284,Montmorillonite,Ilmenite
4,40,Sulfates,0.7169537507961914,Montmorillonite,Ilmenite
4,41,Sulfates,0.6920686976480211,Montmorillonite,Nontronite
4,42,Sulfates,0.6928377361116416,Montmorillonite,Nontronite
4,43,Sulfates,0.7899688257926748,Montmorillonite,Ilmenite
4,44,Sulfates,0.7838776924563927,Montmorillonite,Ilmenite
4,45,Sulfates,0.805746843855216,Montmorillonite,Ilmenite
4,46,Sulfates,0.780404374934042,Montmorillonite,Ilmenite
4,47,Sulfates,0.7219469247384664,Montmorillonite,Ilmenite
4,48,Sulfates,0.6931985975931496,Montmorillonite,Nontronite
4,49,Sulfates,0.7780804887065097,Montmorillonite,Ilmenite
4,50,Sulfates,0.7234585292111275,Montmorillonite,Ilmenite
4,51,Sulfates,0.8274937255025081,Montmorillonite,Ilmenite
4,52,Sulfates,0.8489525484655643,Montmorillonite,Ilmenite
4,53,Sulfates,0.7916098800368904,Montmorillonite,Ilmenite
4,54,Sulfates,0.7777667832253213,Montmorillonite,Ilmenite
4,55,Sulfates,0.760830335549021,Montmorillonite,Ilmenite
4,56,Sulfates,0.8336181424586381,Montmorillonite,Ilmenite
4,57,Sulfates,0.7484261564837017,Montmorillonite,Ilmenite
4,58,Sulfates,0.7385390615454034,Montmorillonite,Ilmenite
4,59,Sulfates,0.6881034043502083,Montmorillonite,Ilmenite
4,60,Sulfates,0.7490242231590276,Montmorillonite,Ilmenite
4,61,Sulfates,0.7466253901923446,Montmorillonite,Ilmenite
5,3,Sulfates,0.8186119030952571,Montmorillonite,Ilmenite
5,4,Sulfates,0.8193463061785454,Montmorillonite,Ilmenite
5,5,Sulfates,0.41990679280160326,Montmorillonite,Nontronite
5,6,Sulfates,0.769831041962939,Montmorillonite,Ilmenite
5,7,Sulfates,0.7282261202792233,Montmorillonite,Ilmenite
5,8,Sulfates,0.539796455773501,Montmorillonite,Nontronite
5,9,Sulfates,0.6959301908131479,Montmorillonite,Nontronite
5,10,Sulfates,0.5724265353995478,Montmorillonite,Nontronite
5,11,Sulfates,0.5826085178040845,Montmorillonite,Nontronite
5,12,Sulfates,0.5942568270850106,Montmorillonite,Nontronite
5,13,Sulfates,0.6009209017135488,Montmorillonite,Nontronite
5,14,Sulfates,0.6614009088968141,Montmorillonite,Nontronite
5,15,Sulfates,0.7565985635672109,Montmorillonite,Ilmenite
5,16,Sulfates,0.804831368015368,Montmorillonite,Ilmenite
5,17,Sulfates,0.753130586754043,Montmorillonite,Ilmenite
5,18,Sulfates,0.7757579603371518,Montmorillonite,Ilmenite
5,19,Sulfates,0.73160223740555,Montmorillonite,Ilmenite
5,20,Sulfates,0.6754071638684792,Montmorillonite,Nontronite
5,21,Sulfates,0.6851775931602966,Montmorillonite,Nontronite
5,22,Sulfates,0.7961315083237978,Montmorillonite,Ilmenite
5,23,Sulfates,0.8491884381519733,Montmorillonite,Ilmenite
5,24,Sulfates,0.8588328820683749,Montmorillonite,Ilmenite
5,25,Sulfates,0.7929688302514537,Montmorillonite,Ilmenite
5,26,Sulfates,0.8155149993742624,Montmorillonite,Ilmenite
5,27,Sulfates,0.8557623539103107,Montmorillonite,Ilmenite
5,28,Sulfates,0.8363105494563742,Montmorillonite,Ilmenite
5,29,Sulfates,0.8575936823790776,Montmorillonite,Ilmenite
5,30,Sulfates,0.7717838121623001,Montmorillonite,Ilmenite
5,31,Sulfates,1.2314244933174956,Montmorillonite,Ilmenite
5,32,Sulfates,1.2627159460586166,Montmorillonite,Ilmenite
5,33,Sulfates,0.8548826557219283,Montmorillonite,Ilmenite
5,34,Sulfates,0.8184968552774518,Montmorillonite,Ilmenite
5,35,Sulfates,0.8276487958048757,Montmorillonite,Ilmenite
5,36,Sulfates,0.6465558383769334,Montmorillonite,Nontronite
5,37,Sulfates,0.743223193589011,Montmorillonite,Ilmenite
5,38,Sulfates,0.7249185579974645,Montmorillonite,Ilmenite
5,39,Sulfates,0.8143649879572893,Montmorillonite,Ilmenite
5,40,Sulfates,0.7067705088923639,Montmorillonite,Ilmenite
5,41,Sulfates,1.0095350152691247,Montmorillonite,Ilmenite
5,42,Sulfates,0.8068152395213528,Montmorillonite,Ilmenite
5,43,Sulfates,0.8600221070146568,Montmorillonite,Ilmenite
5,44,Sulfates,0.8444876175357838,Montmorillonite,Ilmenite
5,45,Sulfates,0.8308298368453041,Montmorillonite,Ilmenite
5,46,Sulfates,0.7881298130478448,Montmorillonite,Ilmenite
5,47,Sulfates,0.8373686325574923,Montmorillonite,Ilmenite
5,48,Sulfates,0.8522446340209114,Montmorillonite,Ilmenite
5,49,Sulfates,0.6932567455302061,Montmorillonite,Nontronite
5,50,Sulfates,0.7234497392433968,Montmorillonite,Ilmenite
5,51,Sulfates,0.8471771517146338,Montmorillonite,Ilmenite
5,52,Sulfates,0.8586156076610982,Montmorillonite,Ilmenite
5,53,Sulfates,1.0607272989448144,Montmorillonite,Ilmenite
5,54,Sulfates,1.2339408291942293,Montmorillonite,Ilmenite
5,55,Sulfates,1.019352848743368,Montmorillonite,Ilmenite
5,56,Sulfates,0.7547229314321947,Montmorillonite,Ilmenite
5,57,Sulfates,0.6767112674346079,Montmorillonite,Ilmenite
5,58,Sulfates,1.2382854410021258,Montmorillonite,Ilmenite
5,59,Sulfates,1.273705825038393,Montmorillonite,Ilmenite
5,60,Sulfates,0.6194199549870466,Montmorillonite,Ilmenite
5,61,Sulfates,0.8840253979219045,Montmorillonite,Ilmenite
6,3,Sulfates,0.8071941111916572,Montmorillonite,Ilmenite
6,4,Sulfates,0.662763831457827,Montmorillonite,Nontronite
6,5,Sulfates,0.8450045514385935,Montmorillonite,Ilmenite
6,6,Sulfates,0.8319740610066695,Montmorillonite,Ilmenite
6,7,Sulfates,0.8162336214204009,Montmorillonite,Ilmenite
6,8,Sulfates,0.6040801360708418,Montmorillonite,Nontronite
6,9,Sulfates,0.7301167221727356,Montmorillonite,Ilmenite
6,10,Sulfates,0.8245791745573624,Montmorillonite,Ilmenite
6,11,Sulfates,0.7936336801284887,Montmorillonite,Ilmenite
6,12,Sulfates,0.755604819257236,Montmorillonite,Ilmenite
6,13,Sulfates,0.7756076097433983,Montmorillonite,Ilmenite
6,14,Sulfates,1.1009646212360595,Montmorillonite,Ilmenite
6,15,Sulfates,0.8119992810445421,Montmorillonite,Ilmenite
6,16,Sulfates,0.8498025469117351,Montmorillonite,Ilmenite
6,17,Sulfates,0.6559138241882339,Montmorillonite,Nontronite
6,18,Sulfates,0.6453228438993807,Montmorillonite,Nontronite
6,19,Sulfates,0.6359271767050384,Montmorillonite,Nontronite
6,20,Sulfates,0.7311748358985494,Montmorillonite,Ilmenite
6,21,Sulfates,0.7539407882471907,Montmorillonite,Ilmenite
6,22,Sulfates,0.6216665245153598,Montmorillonite,Nontronite
6,23,Sulfates,0.6646811252477928,Montmorillonite,Nontronite
6,24,Sulfates,0.7720148725097096,Montmorillonite,Ilmenite
6,25,Sulfates,0.7131753870077586,Montmorillonite,Ilmenite
6,26,Sulfates,0.7434717541150015,Montmorillonite,Ilmenite
6,27,Sulfates,0.7687649105331882,Montmorillonite,Ilmenite
6,28,Sulfates,0.6719135018465977,Montmorillonite,Nontronite
6,29,Sulfates,0.8455009692898093,Montmorillonite,Ilmenite
6,30,Sulfates,0.842083850044927,Montmorillonite,Ilmenite
6,31,Sulfates,0.7281469736835098,Montmorillonite,Ilmenite
6,32,Sulfates,0.6747291254809696,Montmorillonite,Nontronite
6,33,Sulfates,0.6090583736437282,Montmorillonite,Nontronite
6,34,Sulfates,0.6424473287104486,Montmorillonite,Nontronite
6,35,Sulfates,0.5959917440761372,Montmorillonite,Nontronite
6,36,Sulfates,0.5920237277550792,Montmorillonite,Nontronite
6,37,Sulfates,0.5207096614590772,Montmorillonite,Nontronite
6,38,Sulfates,0.6532333490966781,Montmorillonite,Nontronite
6,39,Sulfates,0.6345379617437829,Montmorillonite,Nontronite
6,40,Sulfates,0.6283037668829484,Montmorillonite,Nontronite
6,41,Sulfates,0.7902021467952578,Montmorillonite,Ilmenite
6,42,Sulfates,0.6115653236870644,Montmorillonite,Nontronite
6,43,Sulfates,0.54067504097744,Montmorillonite,Nontronite
6,44,Sulfates,0.6225271829332741,Montmorillonite,Nontronite
6,45,Sulfates,0.7212269470011945,Montmorillonite,Ilmenite
6,46,Sulfates,0.6568303492025714,Montmorillonite,Nontronite
6,47,Sulfates,0.5440749073701672,Montmorillonite,Nontronite
6,48,Sulfates,0.7705717060571771,Montmorillonite,Ilmenite
6,49,Sulfates,0.8588126749024801,Montmorillonite,Ilmenite
6,50,Sulfates,0.8343826038271437,Montmorillonite,Ilmenite
6,51,Sulfates,0.6876781166492472,Montmorillonite,Nontronite
6,52,Sulfates,0.7256092259607813,Montmorillonite,Ilmenite
6,53,Sulfates,0.6439972421120829,Montmorillonite,Ilmenite
6,54,Sulfates,0.7003038999808996,Montmorillonite,Ilmenite
6,55,Sulfates,1.2291148226480613,Montmorillonite,Ilmenite
6,56,Sulfates,0.8307620513006656,Montmorillonite,Ilmenite
6,57,Sulfates,1.1654685720519042,Montmorillonite,Ilmenite
6,58,Sulfates,1.0232933841956346,Montmorillonite,Ilmenite
6,59,Sulfates,0.6635136482612367,Montmorillonite,Ilmenite
